Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
6/3/2022 15:15,186.7,187.16,186.57,186.98,449057,0,0
6/3/2022 15:20,187.01,187.22,186.755,187.13,380656,0,0
6/3/2022 15:25,187.1201,187.81,187.06,187.785,543093,0,0
6/3/2022 15:30,187.7683,187.7683,187.27,187.355,484549,0,0
6/3/2022 15:35,187.34,187.8699,187.17,187.5,530082,0,0
6/3/2022 15:40,187.49,187.74,186.99,187.0299,411344,0,0
6/3/2022 15:45,187,187.69,186.67,187.34,560900,0,0
6/3/2022 15:50,187.33,187.71,186.6,187.43,691797,0,0
6/3/2022 15:55,187.44,187.84,187.12,187.2,2864147,0,0
6/6/2022 9:30,191.39,193.37,190.8916,191.05,1215257,0,0
6/6/2022 9:35,191.1699,191.25,189.34,190.23,789243,0,0
6/6/2022 9:40,190.2399,191.1,189.33,190.43,813297,0,0
6/6/2022 9:45,190.465,190.95,188.57,189.425,732996,0,0
6/6/2022 9:50,189.4146,190.2,188.6,189.81,603694,0,0
6/6/2022 9:55,189.7731,191.05,189.6401,191.05,537836,0,0
6/6/2022 10:00,191.0213,192.4699,191.01,192.17,768279,0,0
6/6/2022 10:05,192.14,192.72,191.67,191.93,628568,0,0
6/6/2022 10:10,191.8666,192.15,191.31,191.745,456627,0,0
6/6/2022 10:15,191.76,192.01,190.76,191.5,617141,0,0
6/6/2022 10:20,191.41,192.14,191,191.9,486543,0,0
6/6/2022 10:25,191.88,192.68,191.45,192.07,563878,0,0
6/6/2022 10:30,192.03,192.48,191.95,192.02,326588,0,0
6/6/2022 10:35,192.01,192.3,191.62,192.18,403437,0,0
6/6/2022 10:40,192.24,192.45,191.1704,191.845,537100,0,0
6/6/2022 10:45,191.84,192.16,191.54,192.08,323977,0,0
6/6/2022 10:50,192.1,192.11,191.11,191.3,290993,0,0
6/6/2022 10:55,191.3799,191.45,190.81,191.2399,346287,0,0
6/6/2022 11:00,191.28,191.54,190.97,191.165,370776,0,0
6/6/2022 11:05,191.15,191.31,189.87,190.0297,481678,0,0
6/6/2022 11:10,190.035,190.06,189.05,189.255,444403,0,0
6/6/2022 11:15,189.29,189.29,187.72,187.76,688560,0,0
6/6/2022 11:20,187.75,188.63,187.67,188.2465,574768,0,0
6/6/2022 11:25,188.2,188.7399,188.0516,188.4422,441982,0,0
6/6/2022 11:30,188.436,188.825,188.17,188.32,403831,0,0
6/6/2022 11:35,188.25,188.78,187.76,188.2289,507272,0,0
6/6/2022 11:40,188.1983,188.62,187.95,188.62,278558,0,0
6/6/2022 11:45,188.65,189.23,188.5,188.555,414591,0,0
6/6/2022 11:50,188.55,189.11,188.48,188.7532,303132,0,0
6/6/2022 11:55,188.7667,189.18,188.57,188.9,252663,0,0
6/6/2022 12:00,188.895,188.95,186.77,186.9552,597868,0,0
6/6/2022 12:05,186.9608,187.3497,186.7931,186.88,307296,0,0
6/6/2022 12:10,186.88,187.0499,186.46,186.69,393620,0,0
6/6/2022 12:15,186.65,187,186.33,186.7885,336852,0,0
6/6/2022 12:20,186.76,187.1725,186.6101,186.6101,313133,0,0
6/6/2022 12:25,186.65,187.05,186.41,186.46,293186,0,0
6/6/2022 12:30,186.4503,186.75,185.642,186.725,594015,0,0
6/6/2022 12:35,186.74,187.2499,186.5602,187.2299,355167,0,0
6/6/2022 12:40,187.2069,187.66,187.06,187.57,319055,0,0
6/6/2022 12:45,187.57,187.95,187.52,187.88,405257,0,0
6/6/2022 12:50,187.86,188.02,187.47,187.9559,563659,0,0
6/6/2022 12:55,187.91,188.2999,187.75,188.08,406829,0,0
6/6/2022 13:00,188.09,188.24,187.76,187.8116,223864,0,0
6/6/2022 13:05,187.84,188.21,187.78,187.9795,203448,0,0
